TOWNSHIP_RANGE,YEAR,GSE_GWE
T03S R07E,2015,17.382714285714286
T03S R07E,2016,25.790470588235294
T03S R07E,2017,22.045619047619045
T03S R07E,2018,22.411285714285714
T03S R07E,2019,18.980636363636364
T03S R07E,2020,19.99266666666667
T03S R07E,2021,26.089444444444446
T03S R08E,2014,25.008000000000003
T03S R08E,2015,25.8
T03S R08E,2016,26.868000000000002
T03S R08E,2017,25.308000000000003
T03S R08E,2018,25.368000000000002
T03S R08E,2019,22.528000000000002
T03S R08E,2020,23.183333333333334
T03S R08E,2021,26.450612903225803
T03S R09E,2014,52.28181818181818
T03S R09E,2015,55.89545454545455
T03S R09E,2016,60.51846153846154
T03S R09E,2017,57.559999999999995
T03S R09E,2018,56.152857142857144
T03S R09E,2019,56.67928571428571
T03S R09E,2020,57.527857142857144
T03S R09E,2021,50.58716666666666
T03S R10E,2014,76.42272727272727
T03S R10E,2015,81.47562500000001
T03S R10E,2016,85.51944444444445
T03S R10E,2017,86.6564705882353
T03S R10E,2018,84.7570588235294
T03S R10E,2019,80.23333333333333
T03S R10E,2020,84.84235294117647
T03S R10E,2021,87.11052631578947
T03S R11E,2014,106.3501304347826
T03S R11E,2015,106.99910526315789
T03S R11E,2016,112.85318181818182
T03S R11E,2017,113.91142857142856
T03S R11E,2018,111.55255
T03S R11E,2019,104.29605
T03S R11E,2020,122.35964
T03S R11E,2021,116.94322727272728
T03S R12E,2014,108.75
T03S R12E,2015,102.72
T03S R12E,2016,112.65499999999999
T03S R12E,2017,117.3
T03S R12E,2018,125.72
T03S R12E,2019,158.97
T03S R12E,2020,160.35368421052632
T03S R12E,2021,172.95800000000003
T03S R13E,2014,121.355
T03S R13E,2015,165.59285714285716
T03S R13E,2016,149.10833333333332
T03S R13E,2017,156.45285714285714
T03S R13E,2018,132.796
T03S R13E,2019,182.525
T03S R13E,2020,106.44166666666666
T03S R13E,2021,185.3125
T03S R14E,2014,215.9
T03S R14E,2015,168.54000000000002
T03S R14E,2016,163.07999999999998
T03S R14E,2017,159.1
T03S R14E,2018,143.5575
T03S R14E,2019,182.525
T03S R14E,2020,108.58
T03S R14E,2021,124.72500000000001
T04N R04E,2014,6.943181818181818
T04N R04E,2015,14.073333333333332
T04N R04E,2016,19.006666666666668
T04N R04E,2017,3.8714285714285714
T04N R04E,2018,5.796
T04N R04E,2019,6.396666666666666
T04N R04E,2020,6.096666666666667
T04N R04E,2021,7.213333333333334
T04N R05E,2014,9.371698113207547
T04N R05E,2015,21.68
T04N R05E,2016,21.624666666666666
T04N R05E,2017,18.33142857142857
T04N R05E,2018,10.31
T04N R05E,2019,8.473333333333334
T04N R05E,2020,14.472
T04N R05E,2021,12.754444444444445
T04N R06E,2014,70.20646666666667
T04N R06E,2015,85.537
T04N R06E,2016,61.13458333333333
T04N R06E,2017,56.30571428571429
T04N R06E,2018,64.8835294117647
T04N R06E,2019,52.745789473684205
T04N R06E,2020,56.94882352941176
T04N R06E,2021,65.15375
T04N R07E,2014,124.56285
T04N R07E,2015,120.30478571428571
T04N R07E,2016,122.21363636363635
T04N R07E,2017,112.47625
T04N R07E,2018,111.360625
T04N R07E,2019,108.54052631578948
T04N R07E,2020,116.87058823529412
T04N R07E,2021,115.87133333333333
T04N R08E,2014,128.664
T04N R08E,2015,132.94
T04N R08E,2016,140.14222222222222
T04N R08E,2017,135.076
T04N R08E,2018,148.20166666666668
T04N R08E,2019,136.79875
T04N R08E,2020,146.74
T04N R08E,2021,131.586
T04N R09E,2014,122.86999999999999
T04N R09E,2015,124.57266666666666
T04N R09E,2016,125.1925
T04N R09E,2017,116.071
T04N R09E,2018,109.88625
T04N R09E,2019,113.10499999999999
T04N R09E,2020,127.64
T04N R09E,2021,122.48375
T04N R10E,2014,116.053
T04N R10E,2015,105.18384615384616
T04N R10E,2016,109.16416666666667
T04N R10E,2017,72.96
T04N R10E,2018,77.642
T04N R10E,2019,62.431666666666665
T04N R10E,2020,157.975
T04N R10E,2021,63.224999999999994
T04N R11E,2014,31.58
T04N R11E,2015,26.795
T04N R11E,2016,31.24
T04N R11E,2017,24.04
T04N R11E,2018,77.642
T04N R11E,2019,21.09
T04N R11E,2020,36.15
T04N R11E,2021,63.224999999999994
T04S R05E,2014,132.35
T04S R05E,2015,134.086
T04S R05E,2016,144.4835
T04S R05E,2017,173.9048
T04S R05E,2018,169.178
T04S R05E,2019,171.30419999999998
T04S R05E,2020,141.58575
T04S R05E,2021,174.63888888888889
T04S R06E,2014,87.73285714285714
T04S R06E,2015,103.1805
T04S R06E,2016,151.608
T04S R06E,2017,131.62854545454545
T04S R06E,2018,146.40694117647058
